issue_key,description,summary
FEATURE-6478,"T-Mobile - Visual Voicemail Reqs - Consolidated - S Upgrade

The purpose of this document is to provide requirements for Native VVM feature to be integrated on all T-Mobile handsets. As an overview the Native VVM feature shall enable following user scenarios:
 - Native Dialer Integration of VVM
 - Native Call Log Integration of VVM
 - VVM retrival/playback/edits
 - VVM to text support
 - Native Messaging integration of VVM

Support of carrier config parsing to read and pass the following values
 1) <vvmConfig>
 <VVMEnabled>true</VVMEnabled>
 <VVMIgnoreDataRoaming>true</VVMIgnoreDataRoaming>
 <VVMConfigAddress>122</VVMConfigAddress>
 <VVMClientHasTrash>true</VVMClientHasTrash>
 <MaxGreetingLength>300</MaxGreetingLength>
 <MinimumPinLength>4</MinimumPinLength>
 <UseMWI>false</UseMWI>
 <UseSSL>true</UseSSL>
 <primarySIMInterface type=""REST"">AKA</primarySIMInterface>
 <primarySIMAuthentication type=""REST"">SIT</primarySIMAuthentication>
 <VM2Text>
 <COS id=""1"">240</COS",T-Mobile - Visual Voicemail Reqs - Consolidated - S Upgrade
FEATURE-6493,"PayJoy is a solution provider in the device security industry which has offered us an interesting partnership proposal.

In order to fulfill this partnership, we must implement a FWK patch (PayJoy Access package) that delivers a pre-built MDM platform for PayJoy OEM partners. This patch role is to ease up PayJoy app installation at POS and grant device compatibility to their solution. 

Feature requires some OS patches which implements the following changes in stock Android:

- *Framework*: the patch implements changes for blocking the use of other applications when the phone is locked by PayJoy, and also for turning their SW client into Device Manager.
- *Settings*: Prevent Payjoy apps from being disabled.
- *Kernel and frp partition*: create a persistent and ""trusted"" flag to block the phone (similar to PAKS).
- *Bootloader*: protect against factory reset and flash from other builds.

 
*Some additional info*:
- PayJoy works with Qualcomm (click here to see the announcem",Support Device Lock using 3rd Party solution from PayJoy
FEATURE-6581,"Here are the high-level requirements for the live wallpaper:
- There should be movement on the wallpaper, but not full loop, it can do one or two moves and stop
- The movement should be visible when user goes to lockscreen by pressing power key
- The movement should respond to touching on the home screen and lock screen
- When user goes from home screen to +1 screen or back the wallpaper should animate/move
- The wallpaper apk should be playstore updatable to allow us to add additional wallpapers
 
First target product:
•	Need to preload a live wallpaper on Racer Turbo
",Motorola Live Wallpaper
FEATURE-6749,"Enable Desktop Mode UX on DisplayPort external connected Display.

Enable Android 10 Desktop mode on Display Port connection
Chooser UX between Mirror and Desktop
Improved Navigation on external display
Secondary Display Launcher changes
Free Form Windows support
Other changes as needed
",Desktop Mode
FEATURE-6791,"*DSDS support for North America Carrier Requirements*

This feature is to support DSDS(pSIM+pSIM or pSIM+eSIM) features for North America carriers.
Carrier customizations if any needed will be supported via separate features

For all below requirements IMS, Calling, Messaging support should be same as that supported for that particular carrier or MVNO. 
The carrier SIM whether inserted on SIM1 or SIM2, or whether it is pSIM or eSIM the behavior for the services supported for the carrier should be the same.

<NA-DSDS-001> - VoLTE should be supported on both single or dual SIMs as per the carrier requirements
<NA-DSDS-002> - WiFi Calling should be supported on both single or dual SIMs as per the carrier requirements 
<NA-DSDS-003> - Video Calling should be supported on both single or dual SIMs as per the carrier requirements 
<NA-DSDS-004> - RTT should be supported on both single or dual SIMs as per the carrier requirements 
<NA-DSDS-005> - SMS should be supported on both sin",DSDS support for North America Carrier Requirements
FEATURE-6792,"With a view to improving our software update rates, we´re planning to update the Privacy screen to include some info about SW updates and Smart updates (it should be applicable for both ROW and VZW Privacy screens).

More details at: https://docs.google.com/presentation/d/15FkNgcsRzYGTOMcCaZE9dEDhkj8LDtRZKincj0w8p_U/edit#slide=id.g7f848a9e9b_0_0

",Smart updates in the initial setup flow
FEATURE-6813,"This FID consolidates all Advanced Messaging Services (RCS) UX requirements from legacy features (refer below) as part of the feature-requirement mapping scrub process.

Requirements - AM1 to AM60

Notes - 
 * The applicable requirements have been implemented via standalone FIDs.
 * The aforementioned requirements are from Advanced Messaging Services (RCS) of 18384.

FIDs Consolidated - FEATURE-6340
----
_*This feature is to track the new/modified RCS requirements released in June 2020 as part of 13340 20.2 and 18384_UXrequirements_2006 v3*_

*<CDR-EMS-2435>* isTyping Indicator Menu Option
 Summary: The messaging client shall enable isTyping indicator by default if the Advanced Messaging Toggle is on, but shall have a setting to allow users to disable it at a global level

*<CDR-EMS-2800>* Message to Own number
 Summary: The messaging client shall use a legacy message (SMS or MMS) to send a message to own number regardless of the capability of the device. If a user trie",AT&T&Cricket&Firstnet: Advanced Messaging Services (RCS) UX Requirements Master [Moto Messages] (June 2020) (22.1F) 
FEATURE-6855,"Moto Dialer/Contacts - Widget improvements

a) *Contacts Widget Does Not Update Contact Photo Automatically* - The Contact widget doesnt update the photo if contact photo is changed. This leads to a mismatch of the icon in widget vs the contact list.

b) Direct Dial And Direct Message Widgets Do Not Update Contact Photo Automatically - This leads to a mismatch of the icon in widget vs the contact list.",Moto Dialer/Contacts - Widget improvements
FEATURE-6862,"T-Mobile - 5G - NR Icon changes & Roaming changes - Q1-2021

*5G NR TRD*
4.11.18	NR devices Delayed 5G icon refresh timer when moving from SCG split bearer to MCG (i.e. <IconRefreshDelay_SCGtoMCG> contribute in carrier config support) - GID-MTRREQ-512348 - Minor Change
4.11.21	Display of 5G icon for Standalone mode	GID-MTRREQ-513514 - New requirement
4.10.7	Roaming support for NR devices	GID-MTRREQ-460631 - updated reqs

*Roaming TRD*
3.18	5G icon display - GID-MTRREQ-513521  - New requirement
3.19	EN-DC combos for NSA Roaming - GID-MTRREQ-513522 - New requirement",T-Mobile - 5G - NR Icon changes & Roaming changes - Q1-2021
FEATURE-6868,"Moto Launcher - Support predefined and user created folders in app tray

•	Allow creation of predefined folders, but the list of the apps in the folders to be based on actual package names instead of wild card
•	Allow apps in predefined folders to be add, edited, removed. 
•	Allow user to create and name the folders on their own
•	Maximum no of folders supported can be limited based upon the layout so that the top row has the folders in the app tray

We need to have capability to enable disable the feature based upon ro.carrier and also ensure user has a way to turn off folder support in settings if required. We need to ensure we have XML file based capability to provide the predefined folders and the package name of the apps which will be in each predefined folder. 

If the user disables app folders then all the apps from the folders apps should be shown in the app tray.

Plan for Q1-2021 Upper Platform release, targeting Android R NPIs(Viking) and R upgrade for products pi",Moto Launcher - Support predefined and user created folders in app tray
FEATURE-6881,"*<CDR-GSM-1100> Displaying ICCID*
Summary: Upon selecting an “About” (or similar) menu, if one is supported, the device shall display the ICCID (20 digits). There shall be no interpretation of the ICCID composition i.e. indicating the Operator or SIM Vendor or Profile ID etc. For DSDS devices, both ICCIDs shall be displayed, assuming two SIMs are in the device.",AT&T&Cricket&Firstnet: Displaying ICCID in About section (June 2020)
FEATURE-6924,"WiFi - Show WiFi 6 icon when connected to AP supporting 802.11ax

For products supporting 802.11ax (Racer Turbo, Viking and beyond) when the device connect to Access Point which also supports 802.11ax then show special icon indicating connection to WiFi 6 AP. 

This will help user understand that he can get the benefits of Wifi 6 in this situation. ",WiFi - Show WiFi 6 icon when connected to AP supporting 802.11ax
FEATURE-6928,"Provide API to enable Moto Gametime to disable/re-enable system navigation for immersive gaming.
For safety reason, couple things to be included:
 - when exiting game(exiting Moto Gametime), this feature will be reset to off
 - when phone display is turned off (press power key), this feature will be reset to off",Provide API to enable Moto Gametime to disable/re-enable system navigation for immersive gaming
FEATURE-6944,"As part of the E2E Charging Experience project, a new concept was designed for the Lock and Unlocked Charging info screens

https://docs.google.com/presentation/d/1wdsYHY_E9MNz96uwnU9G0kEAer5ZqYSA3Jtv5fSh_m0/edit#slide=id.g9b56a3111c_0_268

",Charging - Update Lock and Unlocked Charging info screens
FEATURE-6950,"Android Enterprise already supports preventing the user do factory data reset on fully managed devices. Details of this can be found in
https://developers.google.com/android/work/requirements#4.17.-factory-reset-protection-management_1

However this only prevents user doing FDR though 
Device settings => System => Reset options =>Erase all data

User can still put the device in ""Recovery mode"" and choose ""wipe data/ factory reset"" option , screenshot attached

{color:red}This can allow user to use the fully managed device in some scenarios when admin do not want users to *use it as a regular device* after factory reset. 
{color}

*+What is needed+*
Extend the existing enterprise policy that prevents the FDR to hide the ""wipe data/ factory reset"" option in Android recovery mode

Policy details here
https://developers.google.com/android/management/reference/rest/v1/enterprises.policies   (factoryResetDisabled)
",ThinkShield Enterprise :  FDR prevention in Android Recovery mode
FEATURE-6958,"Original PAKS lock screen had been leveraged from AOSP lock screen, which is fine for fulfilling the original requirements for an non-reversible device lock mechanism.

Business now demands also the ability to set a reversible device lock for some new business models / use cases (e.g., insurance companies).

This feature is for requesting a new lock screen which is more suitable for reversible device lock, which should now be leveraged from System UI mechanisms (e.g., SIM PIN screen).",[PAKS] Create a new PAKS lock screen to support Motosafe reversible lock
FEATURE-6970,"T-Mobile - RCS Consolidated Feature - UP1.0 & UP2.0 - S upgrade

FEATURE-4993: RCS - IP Messaging: Summit Tech Integration (TMO)
FEATURE-6258: T-Mobile - RCS UP1.0 Consolidated Feature - Q42019
FEATURE-6259: T-Mobile - RCS UP2.0 MAAP Consolidated Feature Q4-2019 Spec
FEATURE-6327: T-Mobile - RCS UP1.0 - Capability Dialog and OGC capability in contacts picker
FEATURE-6353: T-Mobile - RCS UP1.0 - Q1-2020 Changes
FEATURE-6489: T-Mobile - RCS Q2-2020 Changes
FEATURE-6624: T-Mobile - RCS UP1.0 - Q3-2020 Changes
FEATURE-6709: T-Mobile - RCS UP1.0 - Q4-2020 changes
FEATURE-6710: T-Mobile - RCS UP2.0 MaaP and Enriched Calling - Q4-2020 changes
FEATURE-6854: RCS UP1.0 - Enhancements from competitive analysis
FEATURE-6911: Messaging - Add instrumentation for RCS Messages and improve SMS/MMS instrumentation 
FEATURE-6970: T-Mobile - RCS Q2-2021 Changes - UP1.0, UP2.0 and EC


+*1 -> RCS on 5G*+
3.1.1 RCS TRD 5G compliance (Future) ID: GID-MTRREQ-460586
3.1.2 EPS Fallback: mainta",T-Mobile - RCS Consolidated Feature - UP1.0 & UP2.0 - S upgrade
FEATURE-6992,"This feature will track development of base SDK framework for building ThinkShield Enterprise features in order to support additional device management capabilities.

This SDK will build all the APIs on top of Standard Android SDK providing even more powerful superset of Enterprise capabilities . An EMM app on an Moto device can receive IT admin commands from the
EMM web console, and call these APIs to deploy commands on Enterprise devices. This integration enables enterprise IT admins to deploy IT policies to manage and secure the device.


- Motorola SDK guidelines are defined @ https://docs.google.com/document/d/1pIhc0zrvf7n2NqqNx_8OTKLT8tuQpdh6zLfk-Azcu7Y/edit

- Motorola SDK Licensing mechanism, guidelines and its basic framework
   
bq.{color:red}TBD{color}

- Current scope of SDK is defined in [ThinkShield Dashboard | https://docs.google.com/spreadsheets/d/17Man-D5QxuPVXO9keslqrKmBAXW7TNVgrhXHCAMMkq8/edit?ts=5f80a6d6#gid=574888915]
",ThinkShield Enterprise :  Develop  ThinkShield SDK framework
FEATURE-6999,"DRP-FEAT-0001 - OEM shall support voice calls over cellular and Wi-Fi networks
DRP-FEAT-0002 - OEM shall support data sessions over both cellular and Wi-Fi networks
DRP-FEAT-0003 - OEM shall support text messaging over both cellular and Wi-Fi networks
DRP-FEAT-0004 - OEM shall support multimedia messaging over both cellular and Wi-Fi networks
DRP-FEAT-0008 - OEM shall support seamless voice call handover between networks (LTE, 3G, 1x, WiFi)
DRP-FEAT-0014 - OEM shall support ability to turn VoWi-Fi On or Off
DRP-FEAT-0015 - OEM shall support voice over Wi-Fi (VoWi-Fi) calls from the native dialer

Spectrum Signature Services - Within Phone application - Integrate Wi-Fi Calling app into dialer/settings
Preloaded in System Partition. WiFi calling libraries to be integrated into the dialer settings menu; to be controllable by the user. 

Changes will be needed to integrate the Verizon WFC app",Spectrum : WIFI Calling
FEATURE-7045,"[v20.3|https://drive.google.com/file/d/1YYUoYbL4zoifUJOj3tH4gwoGd3mLmVEI/view?usp=sharing]

*<CDR-WiFi-1404> Wi-Fi Calling Service Preference*
Summary: The device may provide a setting for the user to choose between cellular preferred or Wi-Fi preferred. If the setting is provided, the default selection shall be cellular preferred.

[18384_UXrequirements_2010 v1|https://drive.google.com/file/d/1ALLiUiZiFyw23Gq3L7NwaYqDinNdAPCI/view?usp=sharing]

!WFC14.PNG|thumbnail!

Requirements - WFC14

*<CDR-WiFi-1510> Thresholds for Handover*
Summary: The device shall have the following set of threshold values for handover:
• Tout-ran: RAN signal strength value that a Cellular preferred service or idle mode should handover to Wi-Fi. Recommended value for LTE RAN is -108dBm RSRP or -3dB RS-SNR, for 3G RAN is -93dBm RSCP or -15dB Ec/No.
• Tin-ran: minimum RAN signal strength value that the idle mode IMS PDN connection on Wi-Fi should handover back to RAN. Recommended value for LTE RAN ",AT&T&Cricket&Firstnet&AT&T MVNOs (TracFone/CC): WFC Thresholds & Preference User Setting & Default (Nov 2020)
FEATURE-7047,"_This FID consolidates all RTT technical requirements from legacy features (refer below) as part of the feature-requirement mapping scrub process._ 
|Real-Time Text Device Requirements|CDR-RTT-010|Device Support for Real-Time Text|
|Real-Time Text Technical Requirements|CDR-RTT-030|Real-Time Text Protocol and Standards Compliance|
|Real-Time Text Technical Requirements|CDR-RTT-040|Real-Time Text Connection Types|
|Real-Time Text Technical Requirements|CDR-RTT-050|Dedicated Bearers|
|Real-Time Text Technical Requirements|CDR-RTT-056|Default Bearers|
|Real-Time Text Technical Requirements|CDR-RTT-057|Use of Default Bearer for Text when Dedicated Bearer Fails|
|Real-Time Text Technical Requirements|CDR-RTT-060|Text Media Feature Tag|
|Real-Time Text Technical Requirements|CDR-RTT-070|SDP Offers for RTT|
|Real-Time Text Technical Requirements|CDR-RTT-080|SDP Answers for RTT|
|Real-Time Text Technical Requirements|CDR-RTT-090|Calls Include Audio Media|
|Real-Time Text Technical R",AT&T&Cricket&Firstnet: RTT Technical Requirements Master Feature (Nov 2020) (22.1F)
FEATURE-7058,"The analysis of Liberty NPS data lead by audio team shows the vibration of answering a call is a valuable feature to have. In Liberty, 17.28%(10/58) of the negative feedback in audio is related to this issue. It deserves further evaluations and can be a chance to enhance the call experience.

UX (currently in page 10, use below link to locate the right page in case the number changed by inserting slides): https://docs.google.com/presentation/d/1_IABPdEIfq8YY2GzvZoWNDljlPXatk848n588oKXhgo/edit#slide=id.gac4905d0a4_0_0

The target of this feature will be Q2'21 but Ibiza(Q1'21) can pull this feature into the product if this feature is available at the time.

SW owner:
Call/Vibration: Mingping Zhang
Settings option: Sathishchandra Bhandary P",Vibration of call indications
FEATURE-7062,"OEMConfig is a new mechanism provided by Android Enterprise to support OEM specific policies on the device

In order for Motorola devices to  support custom, OEM-specific management policies, OEMConfig is a standard that will need to be implemented  in order to make these policies available to IT admins.  Enterprise Mobility Management (EMM) providers typically implement this mechanism in order to support these policies on EMM console available to IT Admins. 

*+How it works+*
- Motorola need to publish OEMConfig app to Google Play. OEMConfig apps use managed configurations (visible to EMM providers) as a way to configure OEM-specific policies on a device.

- Managed configurations use an XML schema file to define which app settings IT admins can remotely configure in their Android app. This schema is linked to the app’s manifest file. 
- After each update, app Motorola will push their app to Managed Google Play.
- UEM developers implement logic to pull the managed configurati",ThinkShield Enterprise :  Develop  OEMConfig app for Motorola ThinkSheild 
FEATURE-7073,"Theme implementation in Moto Messaging app was introduced by Motorola in 2 Features: FEATURE-6077  & FEATURE-6425, as by that time, Theme selection was not supported by AOSP.

But, nowadays, with Android official support, there are better and more efficient ways to control Theme selection.
We believe that it would bring us advantages if we can re-architect this module in the app, as it would bring us less effort in maintenance.

We were thinking about planning this implementation for 2021Q2.

More details in the Reference Document, link above.
",Motomessaging with DayNight theme
FEATURE-7089,"Verizon updated RCS requirements for Oct 2020 release

- Removed address book scanning
VZ_REQ_RCS_3809
VZ_REQ_RCS_3810
VZ_REQ_RCS_3812
VZ_REQ_RCS_3813
VZ_REQ_RCS_3814
VZ_REQ_RCS_3815
VZ_REQ_RCS_3816
VZ_REQ_RCS_3818
VZ_REQ_RCS_3819
VZ_REQ_RCS_3820
VZ_REQ_RCS_3825
VZ_REQ_RCS_3827
VZ_REQ_RCS_3828
VZ_REQ_RCS_3829
VZ_REQ_RCS_3830
VZ_REQ_RCS_3831
VZ_REQ_RCS_3832
VZ_REQ_RCS_3833
VZ_REQ_RCS_3834
VZ_REQ_RCS_3839
VZ_REQ_RCS_3841

- Updated conditions for Video Calls
VZ_REQ_RCS_3922
VZ_REQ_RCS_32001",VZW : RCS updates on EAB sync and Video calls ( Oct 2020 specs )
FEATURE-7097,"VZW is partnering with https://www.boomcloud360.com/ to enhance audio on all their 5G devices in their portfolio. They are going behind each device with enhanced audio experience on all of their 5G devices to boost their sale and differentiate from other carriers

As a value partners, VZW is asking us to support initial trials on Nairobi to prove proof of concept and in return they will promote Nairobi on all possible channels to boost our sale through in Q12021.

All the BoomCloud deliverables and documents are available in https://idart.mot.com/browse/PLCM-1498

Settings UI customisation is covered @
https://docs.google.com/presentation/d/1IogHo7oXLUYCkbykMjEpWswoQaE89sbIFAYTok8l1Q0/edit#slide=id.gc07d33becb_0_0",VZW : Support BoomCloud360 Audio solution on Motorola phones
FEATURE-7115,"Purpose: To build a Firewall by Domain feature so that Enterprises could manage device’s access to URLs on any application and any connection.

Relevance: This feature is not available under AE DevicePolicyManager (setRecommendedGlobalProxy() feature is available but do not fit the purpose).
 When Enterprises enrolls devices under Device Owner mode, they want to be able to restrict user access to non-work related browsing.

Deliveries: Platform , ThinkShield SDK and Moto OEMConfig.

 

*ThinkShield Firewall Feature Request Details (Phase 1):*
 * The Firewall rules should be applied under any type of connection and to all applications as default.
 * It should be possible to apply the policy by Blocklist.
 * Blocklist: All URLs accessible but the ones on blacklisted.


 * Blocklist domains schema should allow URLs substrings to block multiple addresses (e.g. when entering “facebook” it should block any URL containing facebook string)
 * Blocklist domains schema should all",ThinkShield Firewall Domain Filter
FEATURE-7119,"Purpose: To build a feature to let Enterprises decide if Powering Off their fleet of devices is allowed or not.


Relevance: This feature is not available under AE DevicePolicyManager (LOCK_TASK_FEATURE_GLOBAL_ACTIONS can be set but do not fit the purpose).
When Enterprises enrolls devices under Device Owner mode, they want to be able to restrict user from any possibility to powering off the phone (as long as it has battery). 


Deliveries: Platform , ThinkShield SDK and Moto OEMConfig.



ThinkShield Allow/Disallow Power Off Feature Request Details:

It should allow or disallow users from Powering Off the phone on any way:
- Power Key press (Power Off, Restart)
- Power Key long press
- Power Key + Volume key press (fastboot)
- 3rd party Power Off apps

More details, competence analysis and examples on Requirements Document



",ThinkShield Allow/Disallow Power Off
FEATURE-7122,"Starting from Denver, chipsets will be capable of supporting 5G + 5G.

As opposed to 5G + 4G, the following changes must apply:
1.	5G network mode becomes available for both SIMs.
2.	When data is set in one SIM, the preferred network mode on the other SIM remains unlimited (RAT can be as high/good as 5G). This is different from 5G+4G, as in that case when you set the data SIM for one SIM, the other one must be limited to 4G .

Other than that, everything else is the same, from the UX / UI perspective.
",Support 5G + 5G UX & UI
FEATURE-7126,"For any critical issues identified after devices are shipped out for distribution, Motorola devices need a mechanism to do software updates upon first device bootup as part of Out of box experience. 

What qualifies for such updates is decision that needs to be taken by stakeholders internally within and also to be reviewed/approved carriers. *But such VITAL updates are necessary to overcome issues without which device becomes seemingly un-usable or a very critical function of the device becomes non-operational.*

Verizon provided a draft proposal for ""Vital Software updates"" for which Motorola provided valuable feedback and waiting for formal requirements release.

But this feature will be targeted for all devices across all carriers and retail channels. Hence the goal is to make a solution generic enough for all and  can also meet majority of Verizon requirements.

+Proposed out of box flow+ 

- Language
- Activations
- Moto Privacy  {color:magenta} (moved to early stage)",Motorola VITAL software updates @ out of box  device setup
FEATURE-7128,"Purpose: To build a wider range of options for Enterprises to manage phone’s WiFi connections.


Relevance: Some WiFi policies are already available under AE DevicePolicyManager but some others such as not allowing employees to enter on a non secure WiFi or SSID are missing. 


Deliveries: Platform , ThinkShield SDK and Moto OEMConfig.


ThinkShield WiFi Security Feature Request Details:

- Allow/Disallow WiFi connection by SSID
It should be possible to apply the policy by Blacklist or Whitelist.
Blacklist: Prevents users from connecting to a list of SSIDs.
Whitelist: Allows users connecting to just to some specific SSIDs.
Black/Whitelist schema should allow multiple SSIDs separated by comma.

- Allow/Disallow WiFi connection on open networks
It should be possible to prevent users from connecting to non-secure / unprotected WiFi access points.


More details, competence analysis and examples on Requirements Document

",ThinkShield: WiFi Security
FEATURE-7130,"There is concern for false touch on Game from Marketing on Tahoe. IC provide the Tiger mouth suppression for 4 corners , which is Configurable. After discuss with HW/KP team.  It is planned to enable the suppression of the lower left and lower right corners in the game scene according to the direction of the phone.
1. Provide Setting on Gametime, enable default.
2.Framework: Judge the direction and pass the Setting.
3. Kernel: enable Tiger mouth suppression of related corners. ",Add grip suppression for Game
FEATURE-7143,"*Purpose*: Remotely force an Enterprise phone to keep NFC turned ON or OFF (without user interaction).


*Relevance*: Policy not available under AE DevicePolicyManager.
Force ON use case: companies that constantly uses NFC tags for work activities.
Force OFF use case: companies don’t use NFC and wants to enforce privacy by not allowing NFC functions (data transfer, tag reading or payments).


*Deliveries*: Platform , ThinkShield SDK and Moto OEMConfig.



*Feature Request Details:*
- It should be possible to remotely force NFC state as ON or OFF (default value is ON) 
- It should be possible to prevent users from changing its state on their smartphone (default value is allowed)


Detailed analysis available on Requirements Document attached.


",ThinkShield: NFC Control
FEATURE-7146,"The GIF Maker feature will let user to make a GIF with multiple options - users can record the screen and choose a specific area to record.

The feature would be a good value add for stylus experiences.

UI/UX Spec: https://docs.google.com/presentation/d/1Gxez4iNixl6x2PMA8-o1Nmb5-pnrGa2qpMmeEc0pYr8/edit#slide=id.g87ff2e8fe8_13_572

Metascrum: https://docs.google.com/presentation/d/1LXZlVo8PXsfqYFYfb-7-9-f7SCtaVxIeNxHmMF6NW7Y/edit#slide=id.ga1f27ca7c0_0_172

Architecture: https://docs.google.com/presentation/d/1DPf6MS1Bxjg6xoFK0r2Axwydl-A8BCMXbJnzqHuR5UE/edit#slide=id.g88f37348f9_1_2",GIF Maker - For Stylus bubble and Quick settings
FEATURE-7157,"This FID is to capture missed UI/UX from AT&T Device User Experience Requirements 18384 

Latest - [18384_UXrequirements_2010 v1|https://drive.google.com/file/d/1ALLiUiZiFyw23Gq3L7NwaYqDinNdAPCI/view?usp=sharing]

!CO1_2.PNG|thumbnail!

Requirement(s) - CO2

Please refer to the requirement document for dependencies.",AT&T&Cricket&Firstnet: Airplane Mode Enable UI/UX Pop-up (Requirement Recapture)
FEATURE-7222,"Android 11 devices nominated for AER must have com.google.android.feature.AER_OPTIMIZED set to true.

-----------------------------------------------------------------------------------------------

""For Android 11 and above:
 Starting Android 11, device manufacturers MUST declare the AER Feature Flag in every product variant (each SKU) targeted for the AER program. To verify that your software build has implemented the AER Feature Flag, run the following ADB command:

adb shell cmd package has-feature com.google.android.feature.AER_OPTIMIZED

CAUTION: Ensure that only products (SKUs) that are nominated for the AER program include the AER feature flag.
 - If you are using a single image implementation or common source code repository for multiple products please ensure that the AER feature flag is only declared in SKUs/Products that are part of the AER program. GMS approval will be blocked if the feature flag is present in devices that are not part of the AER program.

 - I",AER Feature Flag - Android 11
FEATURE-7234,"*A) NA MTK Chipset - Support Telephony OEM APIs for 4G North America products for MTK Chipset*

NA carrier channels have certain additional requirements for their Stock channels which need additional Telephony OEM APIs to be developed for MTK Chipset.

This feature has been created to track the development for 4G/LTE NA Stock products using MTK Chipset, so that Telephony OEM APIs can be supported for the various functionalities.

+*4G Telephony APIs*+
 getProvisionUpdateRequest
 setProvisionUpdateDoneRequest
 radioConfigReset
 verifyMsl
 activateUiccCard
 deactivateUiccCard
 getCurrentUiccCardProvisioningStatus
 getCAMultiDLList
 getCAMultiDLULList
 getCAMultiDL
 setCAMultiDL
 getCAMultiUL
 setCAMultiUL
 disableAllCAMultiDL
 supplyIccDepersonalization
 getSubsidyLockDetail
 getLteData
 unlockDevice
 getLTERRCState
 getLTEBandEnable

setLTEBandEnable

getBandPriorityList

setBandPriorityList

getSimLock
 setSimLock
 getSimNonce
 getQAMDLEnabled
 set",NA MTK Chipset - Support for Moto customizations
FEATURE-7259,"+*T-Mobile - RCS UP1.0 & UP2.0  - Q4-2021 changes*+

*Modified*
3.3.20.29	Error Handling for OGC session*	GID-MTRREQ-486410	
3.5.4	Support SIP NOTIFY and its contents	GID-MTRREQ-5563
3.5.6	Anonymous list polling	GID-MTRREQ-5565
3.5.7	List and individual Anonymous SUBSCRIBE	GID-MTRREQ-5572
3.13.2	Aggregation of IMDNs	GID-MTRREQ-357907

*New Requirement*
3.5.3	Feature tags in Contact header of Publish method	GID-MTRREQ-520284
3.5.8	Error code handling for Presence GID-MTRREQ-521180	

*Obsolete*
3.13.4	Aggregate IMDNs per thread	GID-MTRREQ-386601	
",T-Mobile - RCS UP1.0 & UP2.0  - Q4-2021 changes
FEATURE-7262,"Verizon gave a go ahead to enable WFC on all retail/OD devices going forward.

Depending on product MR schedule, it can be enabled on Android R platform for existing products, and also new retail (OD) products for Verizon SIMs.

APKs to be used  : TBD (to be clarified by Verizon)

Initial Target products : 
-  Denver MR
-  OS upgrade for all products picking Q2 2021 quarterly release 
-  All Q3 2021 quarterly retail products  ",VZW Retail (OD) : Enable Wi-Fi Calling (WFC) 
FEATURE-7357,"*Purpose*: Allow enterprises to remotely lock and change the SIM card PIN number

*Relevance:* Enterprises want to lock the usage of corporate SIM card on personal devices. Business opportunity with Ambev, TOTVs and BRFoods. 

*Deliveries:* Platform, ThinkShield SDK and Moto OEMConfig.

 

 

*ThinkShield SIM PIN lock feature request details:*
 * This feature will work on Device Owner provisioning only (not Work Profile)
 * On OEMConfig application, the feature must have a description for guiding the enterprise on how to use it 
 * This policy will be inside “Connectivity policies” OEMConfig bundle
 * The Lock SIM PIN default value is FALSE, the enterprise will need to enter current SIM PIN and then enter a new PIN (no need to verify if the number is different from previous one) to set this policy as TRUE
 * If Lock SIM PIN is TRUE and enterprise wants to change to FALSE, they will need to enter current SIM PIN (new PIN field will be ignored)

 

Please refer to [htt",ThinkShield: SIM PIN lock
FEATURE-7363,"*Purpose*: Allow enterprises to remotely set a corporate wallpaper on home screen and lock screen.
*Relevance:*  ** Companies to be able to rebrand company-owned devices, by adding their corporate logo on wallpaper.
*Deliveries:* Platform, ThinkShield SDK and Moto OEMConfig.

 

 

*ThinkShield Wallpaper Set feature request details:*
 * This feature will work on Device Owner provisioning only (not Work Profile)
 * This feature will be inside “Customization policies” OEMConfig bundle
 * The enterprise will be able to set device’s wallpaper on both home screen and lock screen
 * There is no need to forbid wallpaper change (there is already an AE API for it)
 * In a first phase, we can support Web URL images only
 * Image formats supported must be informed on feature info box

 

Please refer to [https://docs.google.com/presentation/d/1AX9OQ1DYqpSRfbippQw4RjcDiwbbTrD7E_ipjhi6Pm0/]  for more details",ThinkShield: Wallpaper Set
FEATURE-7364,"*Purpose*: Allow enterprises to remotely add a corporate application shortcut on home screen.

*Relevance:* Companies to be able to customize their devices for business purposes, facilitating the access to company’s most used corporate apps.

*Deliveries:* Platform, ThinkShield SDK, Moto OEMConfig and Instrumentation

  

*ThinkShield App Shortcut feature request details:*
 * This feature will work on both Device Owner and Work Profile provisioning if possible
 * This feature will be inside “Customization policies” OEMConfig bundle
 * The enterprise will be able to add an App shortcut on device home screen (by app package name), and if possible elect its position on screen (XYZ replacement)
 * If no position is provided, the app can be added in the 1st available place of 1st screen (if already full, in 2nd screen and so on)
 * We must support multiple app shortcut additions (multiple package names can be separated by comma or whatever is technically user friendly like bund",ThinkShield: App Shortcut
