Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-166,"0. Quick draw feature  is enabled. DUT is powered on and in DTO for at least 1 minute. Enable swipe to unlock.
Use twist gestures to open the rear camera by default.","0. 1.  Launch camera by quick draw gesture.
2. While in camera perform the quick draw gesture.
3. Start to capture video.
4. While video is capturing perform quick draw gesture.
1. Set the twisted gesture to turn on the front camera,and repeat step 1","0. Gesture enable camera enables the rear camera.
Verify that if camera is already launched the quick draw gesture does nothing to impact both image capture and video recording.
1. Gesture enable camera enables the front camera
Verify that if camera is already launched the quick draw gesture does nothing to impact both image capture and video recording.",Mot Experience,Quick Capture,MME - Image,Exp_Reg Moto_exp_feature analyzed common_validation_reg difficulty_level_low non_network_dependent quick_capture quick_draw
MCA-1661898,"0. DUT with 5G network support natively
Note: For PRC product，using Tencent Video instead of Youtube","0. Connect DUT to a PC via USB and start sharing data via 5G. Start watching live videos on Youtube on connected device (Select 4k or the maximum resolution available)

1. Start doing a live video (upstream) on Youtube on connected PC. Select 4k or the maximum resolution available
2. Repeat previous step by opening another browser/tab on connected PC

3. On DUT, launch Youtube and start watching 1080p video","0. Live videos shall run on connected PC without any issues on DUT

1. Live video shall be smooth and without presence of buffering, hiccups or any other problem with video and audio.
2. Live videos shall behave accordingly via USB tethering. No buffering, hiccups or shutter shall be noticed while streaming and uploading live videos
3. Verify that both 4 videos can be watched without quality drops and audio quality are excellent",5G Network,USB Tethering,"3rd Party App,5G - NR,Moto Mods",5G_NR 5G_Reg APAC_5G_Reg ATT_5G_Reg PRC_5G_Reg PRC_PRC PRC_Pickup Plat_Reg Retus_5G_Reg TMO_5G_Reg VZW_5G_Reg common_validation_reg execute_live_apac_china execute_live_att feature_5G product_validation_reg
MCA-1662508,"0. Have a screen lock (PIN, Password, Pattern) and a Fingerprint set up.
""Show lockdown option"" is enabled on Lock Screen Preferences.
Have a lot of different notifications on DUT (SMS, Missed Call, Hangouts, Whatsapp, facebook, Instagram, Email, etc).
Disable Moto's Screenshot Editor feature if applicable.
","0. With device unlocked, hold Power button and tap on Screenshot option

1. Check if all options (Share, Edit, Delete) can be used 

2. Hold Power button again with device unlocked and tap on Lockdown option

3. Hold Power button and tap on Screenshot option

4. Unlock device

5. Open the Notification Curtain

6. Lock device

7. On Lockscreen, hold Power button and tap on Screenshot option

8. On Lockscreen, hold Power button again and tap on Lockdown option","0. Power off, Restart, Lockdown and Screenshot options are displayed 
Screenshot is taken and ""Screenshot saved"" notification appears on screen at the top with Share, Edit and Delete options available

1. All options work properly

2. Power off, Restart, Lockdown and Screenshot options are displayed
Device is locked and no notification is displayed on Lockscreen

3. Power off, Restart and Screenshot options are displayed 
Screenshot is taken and no notification appears on screen

4. Device can be unlocked only using the screen lock, fingerprint is not recognized

5. ""Screenshot saved"" notification is displayed on the Notification Curtain

6. Device is locked

7. Power off, Restart, Lockdown and Screenshot options are displayed 
Screenshot is taken and ""Screenshot saved"" notification is displayed on Lockscreen Notifications

8. All notifications disappear from Lockscreen",User Experience,Home,"Home(launcher),UX",Android_P BB8_not_applicable Core_Reg binary_leverage common_line common_validation_reg difficulty_level_medium no_efficiency10 non_network_dependent
MCA-1662510,"0. ""Turn off hotspot automatically"" is enabled on Wi-Fi hotspot settings","0. Turn on Hotspot and do not connect any clients to the MHS 
Set timeout to 10 min

1. Check if MHS turns off after ~10 min

2. Turn on Hotspot again and do not connect any clients to the MHS 
Set timeout to a different value (15 min for example)

3. Check if MHS turns off after ~15 min (or respecting the time set on previous step)
","0. ""0 devices connected"" is shown under Wi-Fi hotspot on Hotspot & tethering settings 

1. Hotspot is turned off automatically
2. ""0 devices connected"" is shown under Wi-Fi hotspot on Hotspot & tethering settings 
3. Hotspot is turned off automatically",Modem,Tethering,"CBS - Others,Modem,WiSL - Wifi",BB8 Core_Reg FEATURE-4963 PRC_PRC PRC_Pickup Plat_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_local_network execute_local_network_brazil execute_local_network_china execute_local_network_india feature_hotspot feature_network_internet product_validation_reg
MCA-167,0. Quick draw feature  is enabled. DUT is powered on.,"0. 1. Launch Mot Camera.
2. While Camera is open perform quick draw gesture.
3. Press back key.","0. Verify that quick draw gesture does not cause any hiccups while Mot Camera is already open. When back key is pressed, DUT returns to idle screen.",Mot Experience,Mot Action,"Camera,Moto Actions",Exp_Reg Moto_exp_feature analyzed common_validation_reg difficulty_level_low non_network_dependent quick_capture quick_draw
MCA-1671800,0. null,"0. Standby, unlock multiple times(10 times)
 
1. Receive notifications from different applications (phone, message, hangouts, paly store, system etc...)
 
2. Enter settings->Digital Wellbeing,View that number of unlocks and notifications are correct","2. The top 1/2 area is used to show an overview of the screen usage time of the day, a color ring composed of the time of each application
 That the number of unlocks and notifications are correct",Google Experience,Digital Wellbeing,"Assistant,GMS,Settings,UX",Android_P BB8 GMS_Reg binary_leverage common_validation_reg difficulty_level_low non_network_dependent product_leverage
MCA-1671802,0. null,"0. Verify how to enter the app's dashboard：
 1.Enter settings->Digital Wellbeing,dashboard,click on the app directly in the list
 2.Select any app to enter app info，click time spent in app","0. 1.Go to the APP dashboard, where more detailed statistics are available，a histogram display of days or weeks; also added the management notification portal for the application
 2.Go to the APP dashboard correctly and see more detailed statistics",Google Experience,Digital Wellbeing,"Assistant,Settings,UX",Android_P BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent product_leverage
MCA-1671803,0. null,"0. Set app timer in three display modes(Screen time /notifications received / Times opened):
 Choose any app,click on the right to set the app timer (No timer, 15minutes, 30minutes, 1hour, Custom timer)
 
1. Use APP,Wait for the app timer ends","0. Timer aren't available for important system apps ,E.g:Settings, phone, Play Store.
 
1. App timer is set at least 5 minutes, less than 5 minutes, the remaining time reminder:5 minutes left
 When the app timer ends,the app icon turns gray and clicks on the app that is not available (App isn't available),the app is paused for the rest and the app timer will reset at midnight",Google Experience,Digital Wellbeing,"Assistant,Settings,UX",Android_P GMS_Reg binary_leverage common_validation_reg low_pri_auto no_efficiency non_network_dependent product_leverage
MCA-1675464,"0. 1. Amazon/Verizon builds that supports Alexa
2. BOTA available.
3. Alexa app should be downloaded via Playstore.","0. Drag down notification bar to visualize quick settings

1. Turn on/off Alexa hands free and restart the phone

2. Turn on/off Alexa hands free and go to portrait/Landscape several times

3. Turn on/off Alexa hands free and perform BOTA","0. Alexa quick title MUST be on first page on quick settings        

1. After Reboot, Alexa hands free SHOULD be on/off as it was set previously

2. Alexa hands free SHOULD remain on/off as it was set previously even when change portrait to landscape mode

3. After BOTA, Alexa hands free SHOULD remain on/off as it was set previously
",3rd Party Preloaded,Amazon,"3rd Party App,Settings,UX",AMZ_Reg BB8_not_applicable FEATURE-5924 FEATURE-6445 Plat_Reg VZW_Reg common_refactored common_validation_reg execute_local_non_network non_network_dependent product_validation_reg
MCA-1675511,0. DUT has a Google account set,"0. On DUT main display open GMail app and start compose some new message

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)","0. Gmail app shall open properly and new message should be composed

1. GMail shall remain open on compose screen with previous message written",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675512,0. DUT has a Google account set,"0. On DUT main display open Calendar app and start to create a new calendar event

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)

2. Repeat steps above while creating goal and reminder","0. Calendar app shall open properly and new event should be composed

1. Calendar shall remain open on previous edit event screen 

2. Same as above",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675513,"0. DUT has a Google account set.
DUT flip should be opened.
","0. On DUT main display open Youtube app and start to play some video.
1. Close flip then open again and unlock the screen (if DUT has a lock screen set).
","0. Youtube app shall open properly and video should be started.

1. Video shall pause when close flip and Youtube shall remain open on main display when open and unlocked.
",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675514,0. DUT has a Google account set with Youtube red/Premium,"0. On DUT main display open Youtube Red/Premium app and start to play some video

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)

2. Repeat steps above with PIP active","0. Youtube Red/Premium app shall open properly and video should be started

1. Video shall remain playing when close flip and Youtube shall go back to video on main display when open and unlocked

2. Same as above",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675515,"0. - Chromecast available 
- DUT on the same chromecast Wi-Fi coverage","0. On DUT main display open Youtube app and start to play some playlist

1. Cast the video playlist to a chromecast device

2. Close flip and use Media control displayed on CLI display

3. Open and Close flip mutiple times while steraming to chromecast","0. Youtube app should open properly and video playlist should be started

1. The video playlist should be casted properly 

2. Video shall countinue playing on casted display and Media controls buttons Should work properly on CLI display when the device is closed

3. Open/Close flip mutiple times shall not affect streaming to chromecast as just as Moto Actions media controls (play/pause/next)",Flip,Interaction,"Display,Flip,GMS,WiSL - GCast",EDA_Updated Exp_Reg Plat_Reg common_validation_reg feature_cli feature_media_control feature_product media_control non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675516,,"0. On DUT main display open Youtube app and start to watch some live stream

1. While live stream is active go to live chat and start write some message

2. Close flip and check audio route

3. Open flip and unlock the screen (if DUT has a lock screen set)
","0. Youtube app shall open properly and live stream should be started

1. Message should be written properly

2. Live stream should be paused when close the device flip

3. Youtube shall remain open on main display when opened and unlocked, and live chat should be clear
",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675517,0. DUT has a Google account set with Youtube red/Premium,"0. On DUT main display open Youtube app and start to watch some live stream

1. While live stream is active go to live chat and start write some message

2. Close flip and check audio route

3. Open flip and unlock the screen (if DUT has a lock screen set)

4. Repeat steps above with PIP active","0. Youtube app shall open properly and live stream should be started

1. Message should be written properly

2. Live stream should remain playing with flip closed

3. Youtube shall remain open on main display when opened and unlocked, and live chat should be clear

4. Same as above",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675519,0. DUT has a Google account set,"0. Open Youtube app and start to upload some video to the app feed

1. While uploading close DUT flip","0. Upload shall be started properly

1. The video shall continue uploading after close DUT flip",Flip,Interaction,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interaction non_network_dependent
MCA-1675520,"0. Use any music app on play music steps.
Music app should be instaled and configured on DUT.
","0. On DUT main display open music app and start to play some music

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)
2. Close the flip again and observe the status bar collapsed/expanded CLI-Media panel","0. Music app shall open properly and music should be started

1. Music should countinue playing and Moto Actions media controls should work properly on CLI display when the device is closed, music app shall remain open on main display when opened and unlocked
2. The player stills reproducing and the layout is displayed according to the Documentation: https://docs.google.com/presentation/d/1K8RX36Tx1n2UrUIBR_2BMzi1duMxmvfKDanSV9HxgO0/edit?ts=5fe9d442#slide=id.gaa8fd2a61f_1_13",Flip,Interaction,"3rd Party App,Display,Flip",EDA_updated Exp_Reg PRC_PRC common_validation_reg feature_CLI flip_interaction non_network_dependent
MCA-1675521,0. Duo should be configured on DUT and on support device,"0. On DUT main display open Duo app and start a Voice Call

1. Close flip and check audio route

2. Open device flip and upgrade the Voice Call to a Video Call

3. Close flip again and observe","0. Duo app shall open properly and Voice Call should be started

1. After flip closed the call should still ongoing and the audio should be routed to phone speaker properly

2. The Voice Call should be upgrade properly to a Video Call

3. After flip closed the Video Call should be dropped to a Voice Call, and the audio should be routed to phone speaker properly",Flip,Interaction,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interaction non_network_dependent
MCA-1675522,0. DUT should have some messages on Voicemail app,"0. On DUT main display open Voicemail app and start to play some stored voicemail message

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)","0. Voicemail app shall open properly and voicemail message should be started

1. Voicemail message should be paused when flip is closed. 

Voicemail app shall remain open on main display when open and unlocked.",Flip,Interruption,"Display,Flip,Telephony",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_product product_validation_reg refactor requires_cli requires_flip
MCA-1675523,,"0. On DUT main display open Messages app and start compose some new message

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)

2. Repeat steps above while attaching some file to a message (MMS)","0. Messages app shall open properly and new message should be composed

1. Messages shall remain open on compose screen with previous message written

2. Same as above",Flip,Interruption,"Display,Flip,Messaging",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675524,,"0. On DUT main display open Message+ app and start compose some new message

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)

2. Repeat steps above while attaching some file to a message (MMS)","0. Message+ app shall open properly and new message should be composed

1. Message+ shall remain open on compose screen with previous message written

2. Same as above",Flip,Interruption,"CBS - VZW,Display,Flip,Messaging",Exp_Reg common_validation_reg flip_interruption network_dependent
MCA-1675527,"0. - Google Files should be installed on device if not preloaded
- Internal storage should have a lot of files, if possible some duplicated files and some big files","0. Open Google Files and go to 'Clean' option, then start use some of the 'free up space' options to clean up some files

1. While device is cleaning up close DUT flip","0. The cleaning up function should works properly

1. The clean up files shall not be affected by closing flip",Flip,Interruption,"Display,Flip,Storage",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675528,0. Set alarm to 1 or 2 minutes before start the test,"0. Wait for some alarm event, while alarm is ringing open and Close flip some times",0. Alarm should continue ring even with the flip interruptions,Flip,Interruption,"Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675529,0. 3rd party instant message app should be instaled and configured on DUT,"0. On DUT main display open 3rd message app and start compose some new message

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)","0. 3rd message app shall open properly and new message should be composed

1. 3rd message app shall remain open on compose screen with previous message written",Flip,Interruption,"3rd Party App,Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675530,0. 3rd party instant message app should be instaled and configured on DUT,"0. On DUT main display open 3rd message app and start a Voice Call

1. While Voice Call is ongoing start write some message (don't send), close DUT flip and check audio route

2. If app support Video call, open device flip and upgrade the Voice Call to a Video Call

3. Close flip again and observe","0. 3rd message app shall open properly and Voice Call should be started

1. After flip closed the call should still ongoing and the audio should be routed properly

2. When opened the previous message should still on display and Voice Call should be upgrade properly to a Video Call

3. After flip closed the Video Call should be dropped to a Voice Call, and the audio should be routed properly",Flip,Interruption,"3rd Party App,Display,Flip,Telephony,ViLTE,VoLTE",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_product product_validation_reg requires_cli requires_flip
MCA-1675531,0. 3rd party instant message app should be instaled and configured on DUT,"0. From support device send some video file/link to DUT device via message

1. Start playing the video then close DUT flip

2. Open flip and unlock the screen (if DUT has a lock screen set)","0. Message shall be received properly on DUT with the video file/link

1. Video shall play correctly, after flip closed the video shall pause

2. Video shall remain open on main display when flip opened and unlocked",Flip,Interruption,"Display,FW&HAL,Flip,MME - Image,Messaging",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675533,"0. - 3rd party streaming app instaled on DUT
- Chromecast available 
- DUT on the same chromecast Wi-Fi coverage","0. On DUT main display open 3rd party streaming app and start to play some video

1. Cast the video to a chromecast device

2. Close flip and use Media control displayed on CLI display
3. Open and Close flip mutiple times while steraming to chromecast","0. 3rd party streaming app should open properly and video should be started

1. The video should be cast properly 

2. Video should countinue playing on casted display and Media controls buttons should work properly on CLI display when the device is closed

3. Open/Close flip multiple times should not affect streaming to chromecast and also media controls (play/pause/next) should not be affected",Flip,Interaction,"3rd Party App,CLI,Display,Flip,WiSL - GCast",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_media_control feature_product media_control non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675535,0. 3rd party app should be instaled and configured on DUT,"0. Open social media app and check app timeline

1. While checking app timeline close/open DUT flip multiple times

2. Start watch some storie sequence

3. While watching stories close/open DUT flip multiple times

4. Connect DUT to wired headset or to a BT headset and check social storie audio route

5. Close flip then open again","0. Social media app should be open and displayed properly

1. Social media app should be sleep/resume according flip state

2. Social app storie sequence should be started properly

3. Social app shall remain open and storie playback should be resumed 

4. Headset shoud be connected successfully and audio should be routed properly

5. When closed social app storie should be paused, the same for audio, and after open the storie playback should be resumed",Flip,Interruption,"3rd Party App,Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675536,0. 3rd party app should be instaled and configured on DUT,"0. Open social app and start to upload some file (picture/video) to the app feed

1. While uploading close DUT flip","0. Upload should be started properly

1. The file should continue uploading after close DUT flip",Flip,Interaction,"3rd Party App,Display,Flip",Exp_Reg common_validation_reg flip_interaction non_network_dependent
MCA-1675538,0. Hangouts Meet be instaled and configured on DUT and on support device,"0. On DUT main display open Meet app and start a Video Call

1. While call is active go to message tab and start write some message

2. Close flip and check audio route

3. Open flip and unlock the screen (if DUT has a lock screen set)","0. Meet app shall open properly and Video Call should be started

1. Message should be written properly

2. After flip closed the Video Call should be dropped to a Voice Call, and the audio should be routed properly

3. The Voice Call should be upgrade properly to a Video Call and messages tab shall remain open on compose screen with previous message written",Flip,Interruption,"CLI,Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675539,"0. - Connect DUT and support device via BT 
- DUT or support device should have any big file on storage","0. After connect DUT and support device via BT start sharing some big file

1. While sharing the file between phones open/close DUT flip multiple times","0. The sharing shoud be start and continue working properly

1. The share should continue properly even with the multiple flip interaction",Flip,Interruption,"Display,Flip,WiSL - BT",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_product non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675540,0. Facebook should be instaled and configured on DUT,"0. On DUT main display open Facebook app and start to watch some live stream

1. While live stream is active go to live chat and start write some message

2. Close flip and check audio route

3. Open flip and unlock the screen (if DUT has a lock screen set)","0. Facebook app shall open properly and live stream should be started

1. Message should be written properly

2. Live stream should be paused when close the device flip

3. Facebook shall remain open. The message remains on the live chat box after opening the flip.",Flip,Interruption,"3rd Party App,Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675541,0. 3rd party app should be instaled and configured on DUT,"0. On DUT main display open your social app and start to transmit a livestream

1. While streaming is active Close flip and observe

2. Open flip and unlock the screen (if DUT has a lock screen set)","0. Social app shall open properly and livestream start playing

1. Live stream shall pause when close the device flip

2. Social app shall remain open on main display when opened and unlocked, and livestream shall pause/resume according flip state",Flip,Interruption,"3rd Party App,Camera,Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675542,"0. Some mobile game (Candy Crush, Clash Royale, Clash of Clans, etc.) should be instaled and configured on DUT","0. Open installed game and start some new game

1. While playing the game close DUT flip","0. The new game match should be started properly

1. Game app should be sleep/resume according flip state",Flip,Interruption,"3rd Party App,Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675547,,"0. Open Google Chrome app and start playing some video stream

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)

2. Connect DUT to wired headset or to a BT headset and check Google Chrome video stream audio route

3. Close flip then open again","0. Chrome video stream should be started properly

1. Chrome shall remain open and video stream playback should resume upon unlocking 

2. Headset shoud be connected successfully and audio should be routed properly

3. When closed Chrome video stream should be paused, the same for audio, and after open the storie playback should be resumed",Flip,Interruption,"Browser,Display,Flip",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675548,"0. AFW test account: Test93@th.do-afw.com 
PW: hG83quHB","0. Go to Settings > Users & accounts > Add account > Google and add some AFW account

1. Wait till start downloading and installing TestDPC app, then open/close DUT flip multiple times","0. AFW account should be added properly

1. None of the flip interactions should have a negative impact on downloading or installing TestDPC app",Flip,Interruption,"Android Enterprise,Display,Flip",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_product non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675549,"0. REQ-1

Title: ""Action on flip close""
a. Disconnect call (DEFAULT setting Out of Box)
b. Disconnect call, unless audio on Speaker/BT/Headset
c. Continue call

1. 1) Add a google account on Initial setup 
2) Test DPC app Downloaded from Playstore
3) Open Test DPC app and choose to setup a managed profile
4) When prompted to add an account add a google work profile account, and Finish setup.

Account: test-afw2@motorolatest.com	
Password: Blink76Vee


3. Go to Personal Call Settings and set the action for 'flip close' during an ongoing call as 'Disconnect call (default setting)'
4. Go to Call Settings and set the action for 'flip close' during an ongoing call as 'Disconnect call unless audio on Speaker/BT/Headset'
6. Go to Call Settings and set the action for 'flip close' during an ongoing call as 'Continue call'","0. Observation Note: When the call is started using the AFW Phone app, the DUT is been redirect this call do default Phone app, this behavior could also be observed on Google Pixel.
1. Go to Settings > Users & accounts > Add account > Google and add some AFW account, then go to Test DPC app > Apps management > Enable system apps and add Phone app

2. All next steps should be executed using AFW managed Phone app, the Phone app with the orange badge

3. Make some Call with AFW Phone app and Close flip while call is ongoing

4. Make some Call with AFW Phone app and Close flip while call is ongoing AND audio route is SPK/BT/Headset

5. Make some Call with AFW Phone app and Close flip while call is ongoing AND audio route is Ear-piece

6. Make some Call with AFW Phone app and Close flip while call is ongoing AND audio route is SPK/BT/Headset

7. Make some Call with AFW Phone app and Close flip while call is ongoing AND audio route is Ear-piece","1. Phone app should be available now for AFW account

3. The call should be finished when user closes the flip and a toast should be displayed to user informing the duration of the call ended

4. The call should continues when user closes the flip and audio route should be retained even after the flip is closed

5. The call should be finished when user closes the flip and a toast should be displayed to user informing the duration of the call ended

6. The call should continues when user closes the flip and audio route should be retained even after the flip is closed

7. The call should continues when user closes the flip and audio route should switch to SPK after flip closed",Flip,Interaction,"Android Enterprise,Call,Camera,Display,Flip,Settings",Exp_Reg common_refactored common_validation_reg flip_interaction network_dependent
MCA-1675550,"0. - Add a google account on DUT
- Test DPC app Downloaded from Playstore
- Open Test DPC app and choose to setup a managed profile
- When prompted to add an account add a google work profile account, and Finish setup.
- Calendar app should be enable for the AFW account (Test DPC app > Apps management > Enable system apps and add Calendar app)

Work Profile Account:
Account: test-afw2@motorolatest.com	
Password: Blink76Vee","0. On DUT main display open AFW Calendar app (the Calendar app with the blue badge) and start to create a new calendar event

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)

2. Repeat steps above while creating reminder","0. AFW Calendar app shall open properly and new event should be composed

1. Calendar shall remain open on previous edit event screen 

2. Same as above",Flip,Interruption,"AFW,Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675551,"0. Go to Settings > Network & Internet > VPN > '+' icon to add a new VPN

VPN type: L2TP IPSec/PSK

VPN server: either use URL ciscoipsec.vpn.mobility-lab.com or IPaddress 144.188.130.240 
(if using for always on, will need to specify IP address).

L2TP Secret: (not used)
IPSec identifier: (not used)
IPSec pre-shared key: test

Forwarding Routes: 10.10.0.0/19 10.1.0.0/23 192.168.100.0/24 
DNS search domains: mobility-lab.com
DNS servers: 10.1.0.6  10.1.0.26

Username: test3
Password: Password123

Once connected to the vpn, you should be able to access intranet 
URL http://srv1.ms2019.mobility-lab.com (IP address 10.10.16.10)

Without VPN connection you should not see this URL page
You should also be able to browse external sites if you have entered forwarding routes info 

For more VPN configurations follow this page:
https://confluence.mot.com/display/PLAT/VPN+Enviroment","0. After configured the VPN go to Settings > Network & Internet > VPN then click on the VPN created and press Connect, wait until the connection is established

1. Open Google Chrome app while VPN connection is active and try to access the intranet URL http://srv1.ms2019.mobility-lab.com (IP address 10.10.16.10)

2. While using intranet close/open DUT flip multiple times
3. Repeat steps above with external sites","0. Connection should be established successfully to continue with the test

1. Chrome should be open and displayed properly and the intranet URL should be opened

2. Chrome app should be sleep/resume according flip state
3. Same as above",Flip,Interruption,"Browser,Display,Enterprise,Flip",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_product non_network_dependent product_validation_reg refactor requires_cli requires_flip
MCA-1675554,"0. ""OK Google"" should be trained
Action for 'flip close' during an ongoing call as 'Finish call'. DUT flip should be opened","0. Test calling - saved and unsaved contacts: 
- Say ""Ok Google Call <name in contacts>""
- Say ""Ok Google Call <Number not saved in contacts>""
While command running Close flip

1. Test Messaging - saved and unsaved contacts
- Say ""Ok Google Send SMS to <SavedName>""
- Say ""Ok Google Send SMS to <UnknownNumber>""
While command running Close flip

2. Ask Google for a route Eg: OK Google Take me home and then Close flip 

3. Ask Google for weather details Eg: Ok Google show me weather and then Close flip 

4. Ask Google to launch apps (including installed apps) Eg : Ok Google launch <appname> and then Close flip and open again","0. Call should NOT be initiated

1. SMS should be sent

2. Maps notification remains on CLI indicating the next step on route
3. Read out should be stopped when close the flip

4. After open DUT flip (and unlock screen, if some screen lock is configured) App should be launched",Flip,Interruption,"Assistant,Flip,GMS,Telephony",CLI_feature_common Exp_Reg PRC_CLI common_validation_reg feature_CLI flip_interruption network_dependent
MCA-1675555,"0. ""OK Google"" should be trained

","0. Trigger 'OK Google' command, than ask to make a call without any headset connected, after triggered Close flip

1. Repeat step above with Wired Headset and with BT Headset","0. The command should be trigger properly and the call should be connected or not according the action on flip closed configured

1. The command should be executed as expected and Ok google response should be routed properly through Wired/BT Headset",Flip,Interaction,"Accessories,Assistant,Display,Flip,WiSL - BT",Exp_Reg common_validation_reg flip_interruption network_dependent
MCA-1675559,0. OTA package should be available for download,"0. Check for updates then Choose ""Download and install""

1. While OTA download is ongoing connect DUT to other device via bluetooth and start transfer some files between these devices

2. Close/open DUT flip multiple while OTA and BT transfer is ongoing","0. Package available should start download

1. DUT should be connected and start transfer files properly

2. None of the flip interactions shall impact on upgrade as on files transfer",Flip,Interaction,"Cloud Services,Display,Flip,WiSL - BT",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675562,0. GMail account should be configured on DUT,"0. Start download some huge app (e.g: games) on Play Store and then close the flip

1. Open device flip","0. Download should start with no impact by closing flip

1. Download should continue without any issue",Flip,Interruption,"Display,Flip,GMS",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675564,0. 3rd party app should be instaled and configured on DUT,"0. Open mobility app and start a new ride

1. While ride is in progress close/open device multipe times","0. The ride should be started properly

1. None of the flip interactions should have a negative impact on the ride",Flip,Interruption,"3rd Party App,Display,Flip",Exp_Reg common_validation_reg flip_interruption network_dependent us-network-dependent
MCA-1675565,,"0. Go to device Settings and on Accessibility section active some accessibility option, like 'Select to Speak', 'TalkBack' or 'Magnification'

1. Start to use the accessibility function activated and do some flip interactions","0. The accessibility option should be active properly

1. The flip interactions should not impact negatively the accessibility function",Flip,Interaction,"Accessibility,Display,Flip",Exp_Reg common_validation_reg flip_interaction non_network_dependent
MCA-1675568,,"0. Connect a mouse or keyboard to the DUT via OTG cable and check the usability of the connected device on Inner display
1. Now connect some USB Flash Drive and start transfering some files

2. While transfering close/open DUT flip some times","0. The connected device should works as expected on inner display

1. USB Flash Drive should be recognized and files should be transfer properly between the devices

2. The transfering should not be affected by the flip interactions",Flip,Interaction,"Display,Flip,Kernel&BSP",CLI_feature_common Exp_Reg PRC_CLI Plat_Reg common_validation_reg feature_CLI feature_cli feature_product non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675570,,"0. On DUT inner screen open Camera app a start to record some video

1. While recording close DUT flip

2. Open DUT flip","0. Camera shall open and start recording properly

1. CLI stays in idle and the video does not continue on CLI when closing the Flip


2. Camera preview is displayed without any issues",Flip,Interaction,"Camera,Display,Flip",CLI_feature_common Exp_Reg PRC_CLI common_validation_reg feature_CLI flip_interaction non_network_dependent
MCA-1675571,0. GMail account should be configured on DUT,"0. Go to Contacts app and start create a new contact or edit some existent, while creating or editing a contact close/open DUT flip some times","0. Contacts app should be always on the previous screen when flip is opened, Contacts app should not be affected by the flip interactions",Flip,Interaction,"Contacts,Display,Flip",Exp_Reg common_validation_reg flip_interaction non_network_dependent
