JIRA_FEATURE_ID_CF_12210,description,summary,Comments
FEATURE-6192,,FEATURE-6192: USCC:< VoWiFi calling for NPI>," As per [~a19035]'s recent email on 11/17, Mayank responded that: ""USC has ranged Borneo and they will need WFC on the same during R upgrade""

[~wcw014]: Please confirm if movement to Q3-2021 is intentional.
 QC just finis vowifi compliance review. We still wait for QC response to provide feature FR number and QC SW delivery schedule.


{noformat}


From: Stephan Chen 
Sent: Thursday, September 19, 2019 4:58 PM
To: Subramanya Roddom Satish Roddom <satishroddom@motorola.com>; Tom long <FGCP188@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Weihua Chen <weihua@motorola.com>; Danish Siddiqui <dsiddiqu@qti.qualcomm.com>
Cc: Ken Crisler <kcrisler@motorola.com>
Subject: Re: [External] RE: MBN FR for USCC requirement

Thanks Danish! Could you provide FR number for USCC Vowifi feature? Thanks!
Get Outlook for Android



On Tue, Sep 17, 2019 at 8:35 AM -0500, ""Danish Siddiqui"" <dsiddiqu@qti.qualcomm.com> wrote:
Hi Stephen 
The compliance would be updated on  04207344 by COB, 
 
Many Thanks
Best Regards
Danish 
 
From: Stephan Chen <stephanc@motorola.com> 
Sent: Monday, September 16, 2019 9:36 PM
To: Danish Siddiqui <dsiddiqu@qti.qualcomm.com>; Subramanya Roddom Satish Roddom <satishroddom@motorola.com>; Tom long <FGCP188@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Weihua Chen <weihua@motorola.com>
Cc: Ken Crisler <kcrisler@motorola.com>
Subject: RE: [External] RE: MBN FR for USCC requirement 
 
Thanks Danish!
 
For USCC compliance, I have QC IMS team input including all VoWifi related as attachment for reference. We hope QC team could follow this compliance and deliver QC SW to support USCC VoWifi for our 2020 NPI (sofia SM6125 AT4.3.1 and Gin SDM632 TA3.0) . Thanks so much!
 
Thanks!
Stephan
 
From: Danish Siddiqui <dsiddiqu@qti.qualcomm.com> 
Sent: Monday, September 16, 2019 10:41 AM
To: Stephan Chen <stephanc@motorola.com>; Subramanya Roddom Satish Roddom <satishroddom@motorola.com>; Tom long <FGCP188@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Weihua Chen <weihua@motorola.com>
Cc: Ken Crisler <kcrisler@motorola.com>
Subject: RE: [External] RE: MBN FR for USCC requirement 
 
Hi Stephen 
I checked internally  it has to go in the compliance doc shared by USCC (we will update the relevant sections). Can you afford us time till tomorrow ? otherwise I would need to do it today as CSG POC was off today. Sorry for inconvenience. 
Many Thanks
Best Regards
Danish 
 
From: Stephan Chen <stephanc@motorola.com> 
Sent: Saturday, September 14, 2019 12:11 AM
To: Danish Siddiqui <dsiddiqu@qti.qualcomm.com>; Subramanya Roddom Satish Roddom <satishroddom@motorola.com>; Tom long <FGCP188@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Weihua Chen <weihua@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Pradeep S <PRADEEPS@motorola.com>
Cc: Ken Crisler <kcrisler@motorola.com>
Subject: RE: [External] RE: MBN FR for USCC requirement 
 
Hi, Danish
 
Do you get the review result of USCC VoWifi feature support for our 2020 NPI products? Thanks!
 
Thanks!
Stephan
 
From: Danish Siddiqui <dsiddiqu@qti.qualcomm.com> 
Sent: Tuesday, September 10, 2019 11:19 AM
To: Subramanya Roddom Satish Roddom <satishroddom@motorola.com>; Stephan Chen <stephanc@motorola.com>; Tom long <FGCP188@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Weihua Chen <weihua@motorola.com>; Pradeep S <PRADEEPS@motorola.com>; Pradeep S <PRADEEPS@motorola.com>
Cc: Ken Crisler <kcrisler@motorola.com>
Subject: RE: [External] RE: MBN FR for USCC requirement 
 
Satish, Moto team 
We are compliant  with IMS 1.2.6 requirement with FR 53361 and CR 2461536.
 
 
 
IMS 1.2.6	The device must do a silent redial on 1x for first-time SIP INVITE when it receives either no response within 12 seconds or a SIP response with an error code 380, 4xx (with the exception of 408,422,423,433,486,487), 5xx, and 6xx (with the exception of 603) during VoLTE voice call origination. After completion of 1x voice call, device must do a SIP REGISTER with the IMS network. 

The 12 second timer must apply to first-time SIP INVITE only, and this must be different than Timer B.	01/10/19	Mandatory	Production
Coming to Vo-WI-FI requirements on v19.1.0 these are marked for future delivery. Currently this is under review and we will share an update once review is completed. We will try our best to revert back by Friday , if any changes I will let you know.
Many Thanks
Best Regards
Danish 

{noformat}
1. Code review is completed and the source code is integrated (https://gerrit.mot.com/#/c/1878202/)
2. For this feature to be officially available in the borneo R builds there are 2 dependencies.
* VoWiFi certification from NOKIA has to be done for which the activity is currently under progress.
* Since this app will be added as binary apk, the LCCARPLOAD-1225 should be approved and the review is in progress.

3. Currently NOKIA server has issues, once resolved I can share device with SIM with my own build which contains the apk for testing.
* Please note this feature can only be tested on a particular borneo device with IMEI id 356891110030188  and a USCC Lab SIM with IMSI = 311225800003181.
Adding [~a19035],

Yes, we would like to move this feature to next NPI on Q4 2020.
After further discussions USC will use R2 as its baseline.  Thus removing the A12 R1 Need label.
Agree!
Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
As per Arthur latest comment on the CR # IKSWR-72560

However, according to Noel's comment and this spreadsheet (2021NA config), Borneo Retail does not support WFC on USC.

Need to wait for the Target device to validate this functionality.

[~wcw014][~a22642] - FYI
As per Mayank on 17-Nov-2020:
Lets keep FEATURE-6192 and add delta from FEATURE-6967 to that.
USC has ranged Borneo and they will need WFC on the same during R upgrade.

17-Nov-2020: Noel shipped USC Test SIMs to India

As per the Android R upgrade [plan|https://docs.google.com/spreadsheets/d/1TPO_iwj1OeXh06zsFlUPo3MkrxbbrqTd-zXZZ-U19Os/edit#gid=145684658], the R MS1 complete for BORNEO is planned for 2/5/21.

For the feature development work *to start* we need the following *dependency* as well to be resolved.
* We need to use the NOKIA IOT lab server and we are waiting on the PO of certificate to be complete. 
* We are waiting for more info from USC carrier on when their production network will be ready for functional test. 
As there are no USC upgrades or NPI launches planned for A12 R0 or A12 R0, moving this plan to A12 R2.
As there is no core apps custom work I am dropping this plan.

[~dth436] / [~clao] FYI
As this wasn't implemented for P I am going to move the plan to Q NPIs.
Austin has been ranged by USC and these features are now needed to be included in A12 R1 so adding the A12 R1 Need label.
Based on Modem team's comment in CR https://idart.mot.com/browse/IKSWQ-3236, modem will not support USCC VoWiFi for Sofia/Gin.

This is only considered to support Racer_5G which is still in discussion with QCOM.  FW will not enable it so far until modem get clear information from QCOM
Current plan doesn't meet the Sofia FC date so adding the risk label.
Currently USCC network is not yet ready and their requirement is still defined .
They will have more details to clarify the requirement in upcoming weeks.   USCC has told us that they are planning update the requirement for additional details.
Development is completed and tested with the NOKIA Lab Server with USCC Lab Sim.
*Code review* is in progress :
* https://gerrit.mot.com/#/c/1878202/ (source)
* https://gerrit.mot.com/#/c/1878200/ (binary)
* https://gerrit.mot.com/#/c/1879477/ (USC product make file)

During a review of current plan backlogs in preperation for 2021 Q2 RQL it was determined this plan could move to Q3 or beyond.
For test build, FW don't need to do the IMS configuration. Tester can enable VoWiFi via hidden menu. Hold this feature plan until it is planned for the product.
From the requirement https://docs.google.com/spreadsheets/d/1CnkNUxphIdOKVK2nSKvsO1eoUrp5yWQauxY9CFDD5qc/edit?ts=5fda3676#gid=54230312, only one UI mentioned for VoWiFi

{noformat}
The device must allow the user to enable and disable Voice over Wi-Fi and other Wi-Fi features from the device settings.
{noformat}

Keep other parameters as AOSP default value.
Gin has been renamed to Fiji
Hi Kumar,
Yes, I have been communicated to her and the team. 
I believe she is working with her team now.
Hi Kumar,  will you be willing to help us to generate a test build?
Does the current baseline already have VoWiFi functionalities and just need the App team to support?

I just want to know when we can get a test build to USC so that can verify on their network for VoWiFi calling.
Hi [~kmjd67],
The test cases are available on: [link|https://dalek.mot.com/issues/?jql=project%20%3D%20CCTEST%20AND%20issuetype%20%3D%20%22Test%20Case%22%20AND%20status%20%3D%20New%20AND%20component%20%3D%20%22USC_6192_VoWiFi_calling%20%22%20AND%20labels%20%3D%20cc_fid_6192]
Only need the SME approval and test plan creation.
[~fvmk68] FYI,
I can't access QCOM SR 04118875, need [~a20454] help comment.
Integration not done and no product to test.
It is possible for [~a24148] to complete the development testing using the current TS.43 certification purchased from Nokia.

Additional MotiveSmart license if needed only for IOT testing in Nokia labs
No Target/Reference Product Identified.
Nokia IoT Testing in Progress. Once Done, USCC needs to approve in the Production Server. 

After Approval, we need to test the End to End testing of WFC functionality.
Per IKSWQ-3236, QCOM has planned to support this feature and lack of ETA.

FW will commit to enable USCC WFC assuming QCOM modem support it. This feature is only valid on Sofia for FW feature plan commit.
Per agreement with [~a19035] and at the request of [~dth436] and [~w19976] moving this to Q1 2021 (R)

[~wch683] FYI
Per discussion at the 2021Q1 RQL meeting today it was agreed this should be moved to 2021Q2.
RPADX-2994 RRB Request Approved (Add) 
RPADX-2999 Plan Created For: 
FEATURE-6192:USCC:< VoWiFi calling for NPI> on Release:
RPADX-1939:ADX P_Pure+_Rel1
RPADX-3000 Plan Created For: 
FEATURE-6192: {color:#326ca6}USCC:< VoWiFi calling for NPI>{color} on Release: 
RPADX-1939 ADX P_Pure+_Rel1
Removing 2H2019 labels from Racer 5G and adding 1H2020
Removing Sofia and Gin labels as [~clao] has communicated in FEATURE-6192 that these have been negotiated out of scope for these products.
Thanks. Then I will hold this feature development until the requirement is updated.

Put ""Integrate CWV"" as 06/01 temporarily.
The PO order has been approved for VoWifi certification to access the NOKIA IOT lab. In addition to this NOKIA/USC has informed to purchase the *MotiveSmart license* worth $10k as well *which is still pending*. Waiting on the approval for the MotiveSmart license PO approval now. 
The TS.43 implementation to support the VoWifi calling solution is now added by Google in Android S.

So, as part of this plan following actions needs to be done.
 * Check whether Google solution covers all the USC Wfc usecases.
 * Will need to re-run the IOT cases with NOKIA with Google solution.

cc: [~dth436]
There is no conclusion with USC. 
[~wcw014]: / [~a19035] / [~wch683]: Pls move this feature to Q2-2021.
* Will still continue technical discussions with USC.
This is needed for Sofia so adding Sofia label.
This is not needed until 2020 NPIs however USC is requesting a test build on Oslo_M.  [~clao] to provide timeline for this request.
This plan is expected to be in base for the 2020 Q3 ADX release.  As such marking plans expected to be in base with 2020Q2 label for easier tracking.
USC Network Team and Motorola Modem Team are working on this issue along with QC. Expecting the Resolution ASAP.
USC team confirmed that the development *cannot be done on their live network*. We should use the *NOKIA IOT lab server for the feature development*. 
The development activity *has been blocked on the PO for accessing the NOKIA IOT lab*. Once the PO is done, will start on the feature development.

Also, we need to use the *Borneo device with R build for the development* . The bring up of R on borneo is in progress and the *target date for MS1 complete is 2/5*
USC team shared the production server details. I tried to connect to the production server using SofiaP device with USC sim, the GET method succeeded and got the aka challenge request, after the device processs the aka challenge and responds back with POST method, the USC server responded back with *500 Internal Server error*.

Have emailed the USC team to help on this. Waiting for the response.
Update Integrate CWV date
Update the integration date 2021/2/3
Update the integration date to 2021/2/15 as it is moved to 2021 Q2
Updating the labels to remove Sofia and add Gin.  Sofia/Sofia+ are low probability for ranging by USC where Gin is high probability.
Updating to R1 as there are no USC upgrades off of R0 and no products are available for testing.
VoWiFi requirements for USCC are generic in nature and should be supported by default.

App side responsibilities include:
1. Enable / Disable VoWiFi device settings based on IMS Management Object parameter
2. User ability to turn on / off VoWiFi settings
3. Roaming preference setting

*The above mentioned requirements are not mandatory to validate ePDG functionality.*

There are no requirements for Emergency Address Management in attached USCC requirements doc.

[~wcw014] / [~clao]: Pls drop this RPADX for App. I would like to avoid unnecessary tracking of the Planning CR that is not scoped for now.
We are still pending the information from USCC.

But currently we have proposed to USCC to defer VoWiFi to 2021 products.

[~a19035] Pls help clarify which target product need this feature, and help share the latest requirement spec. Thanks.

Move the date to 09/01 temporarily.
[~a20454] Any update from QC on this?

[~w19976] Mahmoud is pressuring us to have all features for Sofia committed by next Wed.  Please commit if possible.  ADX feature complete for Sofia is 10/30.  Remember we will need time for testing and bug fixes.
[~a20454] Any update on schedule from QC?  [~w19976] Assume we need to wait for QC response before committing? 
[~a20454] is still checking with QCOM if they can support USCC VoWiFi with CR IKSWQ-3236.  Once it is clear, I will commit this feature based on QCOM's time line.
[~a24148], [~dth436] the Int CWV date for this plan is past due.  Please help to update it.  As you know we want to get this into mainline so that we can test and get it propagated to Q2 all before 3/12.
[~clao] According to the comment in https://idart.mot.com/browse/RPADX-3028
{noformat}
Lao Charles added a comment - 05/Mar/20 4:08 PM
USCC will do the provision via standard VoWiFI, they will provide us the link to point to enter the emergency service location.
{noformat}

I understand USCC would like to do WFC entitlement check with the emergency address link, could you help comment what is the detailed link address? Also in the old requirement, USCC ever mentioned below, may I understand it will be shown by USCC's web site after the link is launched?
{noformat}
The device must display U.S. Cellular’s Terms and Conditions to the customer as related to Voice calling over Wi-Fi.
{noformat}

In the old spec, it also mentioned below, as OMADM for VoWiFi not supported, do they have any update for those related requirements?
{noformat}
The device must show all VoLTE  and VoWiFi user interface controls and settings when the 3GPP IMS Management Object parameter Voice_Domain_Preference_E_UTRAN dictates that VoLTE functionality is enabled from the network.
The device must allow the user to enable and disable Voice over W-Fi and other Wi-Fi features from the device settings when the 3GPP IMS Management Object parameter Media_Type_Restriction_Policy is set to enable Wireless Local Access Network (WLAN).
The device must hide all Voice over Wi-Fi device settings when the 3GPP IMS Management Object parameter Media_Type_Restriction_Policy is set to disable Voice over Wi-Fi.
{noformat}
[~clao] Have the requirements been clarified?  Can we get an ETA from them?
[~clao]: Please request Ming-shu for the test builds, as VoWiFi needs to be enabled in FW
[~dth436] Borneo R upgrade should pick up Q3-2021 and hence the decision to move it there. 
We should still keep working on our development so that we can discuss any issues. 
[~dth436] There is an item from USCC VoWiFi requirement - https://docs.google.com/spreadsheets/d/1U36s4KUyYExC6gEtD2GucjkY4i6z7zNqjWH5kra31Gk/edit#gid=1868168186

{noformat}
The device must display U.S. Cellular’s Terms and Conditions to the customer as related to Voice calling over Wi-Fi.
{noformat}

Could you help comment if App team support it? 

FYI  [~wcw014]  [~clao]
[~dth436] we had dropped this Core Apps Custom plan for this feature as previously you had thought there was no work for it.  I have reopened the plan for you to use and moved it to Q1.

[~w19976] FYI
[~dth436], [~a24148] I believe the certification results came in early but there was one issue identified.  Can you clarify if that has been resolved and if we can get this feature integrated now?

[~tgb348], [~a22642], [~w15621] FYI
[~karinyo]: Did we develop the test cases for this feature?
[~fvmk68]: FYI
[~tgb348] USC WFC is not enabled yet for any product. As I mentioned before, I need PdM team help clarify with target product and latest requriement spec. 

Pls help verify it after the code is integrated. 

FYI [~a19035] [~wch683]
[~w19976] / [~a20454] Do we have an update from QC yet on IKSWQ-3236?  Ming-Shu can you commit yet?
[~w19976] / [~a20454] I am still waiting for an update...
[~w19976] ADX FC is 10/30 for Sofia.  We need to improve the integration date.  Can we get prioritization with QC?

[~kmjd67] FYI we will need to pull in the test dates as well.
[~w19976] Are you able to commit to this?  It has the Sofia label.  We are to be FC for Sofia by 10/30.  Will need time for testing and bug fixing built into that.
[~w19976] If this is integrated can you update the Int Actual date.  If it is not can you update the Int CWV date?
[~w19976] can you update the target date for this plan please?

[~tgb348] FYI
[~wcw014] Per latest comment in https://idart.mot.com/browse/FEATURE-6192, USCC VoWiFi is only planned to support racer_5g product. Could you help remove other product label?  

I move integrate date to 12/01 
[~wcw014],

The NOKIA IOT testing is completed and the *VoWifi certification is approved by USCC*. All the changes related to this Feature has been integrated in the *mainline* and *Q2* branch. Testing can now officially start. [Q2-build_link|https://artifacts.mot.com/artifactory/continuous_builds/borneo/RZB31.Q2_borneo-retail_userdebug_mr-2021-q2_r-qsm2020_test-keys_continuous/92/]

Please note that there *is a dependency on Modem* to set the *WfcProvisioned to true by default* which isn't working on the USCC Lab SIM.  [~tnikhila] is checking if this issue is *reproducible on live SIM as well*. So, before starting the test, ensure that the *WfcProvisioned is set to true* by going to the hidden menu option.

Steps to check if WfcProvisioned is set or not.
1. From Dialer launch the hidden menu option by dialing **#***#4636#***#** 
2. Go to Ims Setting > Wi-Fi Calling and check WfcProvisioned value.
3. If WfcProvisioned is false, then *toggle the Wi-Fi Calling button once and check the WfcProvisioned* value changes to true.
4. Now the device is ready for the test.

*Please note, the above steps needs to executed on every device reboot.*

cc: [~a22642], [~tgb348], [~wdr013], [~wch683], [~a19035], [~dth436]

P.S : Attached the USCC approval email.
[~wcw014]: Feature got integrated on 2/19.
* However, the APK cannot be included in official builds till Nokia's certification is complete
** This is as per USC's direction.
** Not allowed to start WFC testing on live network till Nokia certifies.

* Nokia certification process is in progress, ETA: 15-Mar
[~wcw014]: It is not possible to commit to this feature for Q1-2021, given the poor response from USCC.
* Will wait till 21-Aug before formal request to drop the feature

Email to PdMs: (on 10-Aug-2020)
Hi Noel / Mayank,

As you notice, USCC takes about a month to respond to any query posted by Motorola.
-- It is very difficult to prioritize USCC development, given their response times.
-- With no information about availability of Lab / Production networks, it is not possible to commit VoWifi for USC
-- Minimum needed for commitment for Q1-2021 Upper Platform
21-Aug-2020: USC shall respond back with requested details
During dev phase: Respond to any technical queries / support within 2 days of raising the same.
If the above cannot be assured, pls drop the feature from Q1-2021

Chronology of Mot-USCC communication:

29-Apr-20: Shared initial list of queries with USCC

11-May-20: Technical meeting with USCC, received first of responses for queries raised on Apr/29

8-June-20: Partial response from USCC, reminded them to share req-resp examples for dev-network interactions

23-Jul-20: USCC shared updated Requirements doc as per my comments and requested review of then same
24-Jul-20: Shared my review comments back to USCC
10-Aug-20: No response yet from USCC (sent reminder again)
[~wcw014]: NO change needed from App side. [~a20746] already communicated to [~clao].
* Please drop this Plan CR for App.
[~wcw014]: based on comments from Charles, seems that this feature is deferred to 2021. Kindly remove Racer 5G label and Q2 label as well. +[~tgb348]
[~yash1][~vish1] - Please verify the USC SIM with Gin NA Retail build, WFC should work. If not please raise a CR.
[~a19035][~a22642][~wch683] - FYI
added Mingshu in SR, currently still wait for QC response. SR already escalated to QC TAM.
loop [~tnikhila], [~kishor] "
FEATURE-6205,,FEATURE-6205: VZW : Verizon Cloud Integration and Customization,"Adding adx_not_ready_for_test since apks we're using are from Android 11 and not Android 12

[~a19591] FYI
As agreed, please make basic tests using Android 11 version while we don't receive Android 12 compatible ones"
FEATURE-6206,,FEATURE-6206: VZW : Settings requirements integration and customization,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Hi [~aconti],
 IKSWS-2341 related to this plan: RPADX-5712.
The behavior in the CR IKSWS-2341 is as designed, and not an issue, will update in the CR comments.
This feature implementation is dependent on Settings S upgrade. Since Settings retail MS2 completion is estimated by July 15th, this feature is also committed accordingly.
This plan is used to implement only the feature - Vzw data usage units (FEATURE-4232) which is now consolidated into FEATURE-6206.
Verified on Burton SPB32.34
[~a22595] this CR IKSWS-2341 is related to this plan or RPADX-5711?

[~daoliv] [~ggpiassa] FYI"
FEATURE-6216,,FEATURE-6216: VZW : Voice over Wifi calling (WFC) requirements consolidation,"[~a19591] has confirmed to use APKs of previous OS.
[~wcw014]: dependency on VZW preloads. Need to wait for Vzw confirmation if new set of APKs will be released for ""S""

[~a19591]: Pls check with Vzw and confirm back"
FEATURE-6224,,FEATURE-6224: [Voyager] AOSP Dialer support for CLI (LATAM/EMEA),"Moving this out to A12 R2 since Odyssey isn't getting upgraded until R2.
Tests completed
[~jrdk47] the test CWV date is past due.  Could you please update it?
[~jrdk47] this plan has a Test Actual date.  Did you just forget to move it to the ""Complete"" state?
[~wcw014] There were many open CRs and didnt see any resolved dates for them. I am moving test dates to jan-31. Could you please follow up with dev team about the open CRs
[~wcw014] This is needed for the devices with CLI. As there are no devices planned for A12R2, we don't need these changes."
FEATURE-6236,,FEATURE-6236: VZW : WiFi UI and WiFi MHSUI requirements update from Feb. 2019 specs,"All the issues at RPADX-4468 were dealt with at RPADX-4317 FEATURE-5019, so I believe this plan is not necessary for this version
No need to drop this now. Let's consolidate this on next android release. To accomplish this consolidation we should request this on FEATURE-6236 CR? [~wcw014]
[~a22642] I agree and I see what might have caused the label to be added.  I updated it to remove it.
[~aconti] thanks for clarifying.  [~a19591] would help with the consolidation on T.

 
[~jcamelo] are you indicating this plan should be dropped?

[~a19591] FYI
[~jcamelo], [~aconti], [~mvt647], the Int CWV for this plan is past due.  Please update the CWV date or if it is integrated update the actual date please.
[~wcw014]: This RPADX has EMEA label, but features is for VZW. Could you please confirm.

+[~tgb348]"
FEATURE-6239,,FEATURE-6239: VZW : Android requirements updates from Feb. 2019 spec,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Only pending item is

VZ_REQ_ANDROID_10598638

For the new 4G basic phone devices that have the same prepay and postpay model name and launched after 02/01/2019 (not SU update should not implement this change) , OEM must include new xml files in /etc/permissions or equivalent folder with below content in order to identity if the device is prepay
<?xml version=""1.0"" encoding=""utf-8""?>
<permissions>
<feature name=""com.verizon.devicetype.prepay""/>
</permissions>

But this requirement is not applicable for smart phones. So we are good.
[~wcw014] could you please move this plan to R1 since it depends on ro.carrier?"
FEATURE-6445,,FEATURE-6445: VZW : Amazon Alexa enablement for Verizon,Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
FEATURE-6478,,FEATURE-6478: T-Mobile - Visual Voicemail Reqs - Q2-2020,"All the code of the feature is in Dialer (""com.android.dialer""), and is dependent on Custom Dialer S upgrade.

The feature will be committed after Custom Dialer S upgrade dates are available.
Custom Dialer S upgrade Integration completion date is given as 8th August. This feature is dependent on Custom Dialer, hence integration is committed to a week after Custom Dialer is integrated.
Hi [~wcw014], yes, we have completed the retest last Friday. Thanks.
[~dth436] I think at this point it is ok to leave it as R1.  We can just use this data to plan A13.
[~malaguti] can you update the Test CWV date please?
[~malaguti] can you update the Test CWV date please?

 
[~wcw014]: Can change release label to A12.R0 as there are no dependencies"
FEATURE-6493,,FEATURE-6493: Support Device Lock using 3rd Party solution from PayJoy,"According to [~wjm097]'s comments, this Payjoy feature is only applicable to Saipan in Q2. We need to do configuration per product in addition to configuration based on Channel ID. After discussion together with CM, [~a18268] will need to rework on the configuration. So, I updated the integration date CWV to Feb 5.
As decided with [~wjm097], [~a18268], [~wcw014] and [~brunoess], the feature is going to be integrated to Tahoe on Mainline / Userdebug for us to test it and complete the RPADX.

Before, the feature was mistakingly integrated to Hanoi+ on Q1 stable line, however this is a Q2 feature, that's why we need another product on mainline for Q2 testing.
Code is ready, but pending on the launchcal CR LCCARPLOAD-1187 approval to merge
Feature test executed on Tahoe Mainline

Tests to be executed on Saipan when HW is available with Q2 Common Stable Line build
Given the current status with GTM and after discussion with [~wjm097] it has been agreed to move this to Q1 for consideration.
Hi [~a18268]
Can you please update Integrate CWV?
Hi all, 

According to [~wjm097], this feature will be available only for Saipan in Q2, since we are expecting to receive this device in our site only on Apr/01, I’m updating the Test CWV date of this feature.

Best Regards,
Brunna Arruda
Not sure who put the dates 10/31 here, we even could not start this feature because
1. we did not receive the R deliverables from Payjoy yet.
2. This need Google approval, and we did not receive it yet.

Please contacts with [~w15621] or [~wjm097]] for details
Per discussion with [~w15621] and [~wjm097] moving this to Q2.
RPADX-3898 RRB Request Approved (Add) 
RPADX-4189 Plan Created For: 
FEATURE-6493:Support Device Lock using 3rd Party solution from PayJoy on Release:
RPADX-4178:ADX R_Rel1
Required updated Integ date for providing Test CWV.
Reviewed with Mayank and Ajit and this is needed for Q1.
Since [~wjm097] suggest we build this on Capri+ for Q2, so currently it is only picked up for Capri+ user debug build.
If you need, we can raise another commit to enable it for Capri build, not sure if there is any concern there, let me know if need that for Capri.

Steps to test this feature

*Preparation:*
1. Apply the payjoy test account, you can send me email so that I can add you to the test group. After you get the account, login to https://payjoy.com/dashboard/#/, then go to https://payjoy.com/dashboard/#/update-device-manager, scroll down to the section *API Settings:*, copy the *api key* in the below box.
2. Write down the phone's *IMEI*
3. FDR the device, and then flash the test SW. 
4. currently, this feature is only enabled for the channel *openmx*, so if the channel is not openmx, it will not have this feature. Check your phone's channel, if it is not, on a NS device, you can use the command to change it to openmx in *fastboot mode*
fastboot oem config carrier openmx

After this command, use below command to make sure it is indeed set
fastboot oem config carrier.

Also after phone is power up, you can check the channel by
adb shell getprop ro.carrier

*Testing Step*
1. After flash the SW, before it is powered up, activate the payjoy on this device by below link. replace the *<IMEI>* and *<api-key>* with the actual one you got on above steps
   https://api.payjoy.com/devicemanager/v1/device/claim?imei=<imei>&key=<api-key>
2. Power up your device, and go through the set up steps, and connect to internet
3. wait the payjoy app starts, and follow the screen instructions. 
4. When the payjoy app compete the activation, there will be a code on the payjoy screen, something like ""DZQGGXB"" record this code, it is the device tag.
5. Go to https://payjoy.com/dashboard/#/use-device-api, and input the tag in above step in the box, and hit the *Enter* button
6. in the next screen, you can now set the expire date for the device, or deactivate the device, or remove the lock.


The Payjoy release includes the change in 1) Bootable (kernel) 2) Frameworks 3) Application 4) makefile.  FW may take care of 2), 3) and 4), but 1) should be supported by Kernel.
This is considered a first priority for 2021 Q1.
We are still waiting for the new deliverable from Payjoy.  We ever integrated the old Payjoy packages received on early July on Voyager, and it worked fine, but Motorola had further comments on this package, and Payjoy need update the packages based on Motorola comments. For details see https://docs.google.com/spreadsheets/d/1LbgBdxKO0OArX_cbhesesFNOJXjvmFSkRp04b3DFRXA/edit#gid=1839454929.

We have pushed Payjoy to give the expected date for the new package, but we did not get a commitment yet.
Why can's the [plan and test be completed ona refernce device? this is how this feature has been tested so far. Then plan can be closed and once Saipan HW is available it would just need to be retested on it.

Thanks
[~renano], [~a22642] please see Louis comments asking why this can't be completed on a reference device.  Would be nice to not have this hanging open until April if possible.
[~w0126c] Are there dependencies on this plan?  Are you able to commit to it?

[~w15621] FYI
[~w0126c] and [~a18268] this plan is now past due.  Can you update the CWV date please?  Remember feature complete is this Friday 7/31.
[~wcw014]: Based on comments by Yong Jiang, team would be testing on Capri/Capri+ builds. Test dates have been pulled in. "
FEATURE-6581,,FEATURE-6581: Motorola Live Wallpaper,"Verified on motorola/burton_vzw/burton:12/SPB32.40/e40596:userdebug/intcfg,test-keys nio_retail_userdebug_12_SRT32.2_aa79f_intcfg-test-keys_ret_US
We are changing the _*integrate CWV date*_ to *2/Jul/21* due to IKSWSRVC-24152 which blocks the integration for the MotoLiveWapaper3 project on Android S because playstore.xml is not yet included by the base root manifest and the project is not included in the build system.
We are changing _*integrate CWV date*_ to 09/Jul/21 due to IKSWSRVC-24152. We are waiting for the CM team to integrate a fix in the manifest project to allow playstore.xml to be recognized in the default manifest."
